Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
309, 2098, 7, 16, 2742, 10165, 4729, 20082
310, 2141, 6, 19, 2382, 10366, 4900, 20126
311, 2183, 6, 18, 2442, 10896, 5077, 20926
312, 2012, 6, 17, 2381, 10659, 5383, 20779
313, 2115, 7, 19, 2638, 10481, 4329, 19910
314, 2057, 6, 17, 2283, 10432, 5163, 20250
315, 2071, 7, 17, 2450, 10796, 4567, 20223
316, 2144, 6, 18, 2257, 10994, 5225, 20925
317, 2073, 7, 18, 2447, 10667, 5305, 20831
318, 2092, 6, 17, 2373, 11011, 4294, 20113
319, 1992, 6, 17, 2361, 10035, 5104, 19832
320, 2129, 6, 17, 2306, 10248, 5087, 20119
321, 2049, 5, 17, 2389, 10400, 5073, 20245
322, 2118, 6, 18, 2430, 10632, 4446, 19954
323, 2036, 7, 19, 2481, 10733, 5254, 20856
324, 2101, 7, 18, 2398, 10573, 4716, 20141
325, 2082, 7, 19, 2515, 10530, 4767, 20228
326, 2060, 6, 18, 2421, 10541, 4935, 20280
327, 2083, 6, 16, 2277, 10517, 5018, 20240
328, 2164, 6, 17, 2372, 11068, 5215, 21143
329, 2277, 7, 17, 2365, 10476, 30359, 45812
330, 1959, 6, 17, 2382, 11064, 30331, 46060
331, 2088, 5, 18, 2385, 11225, 30337, 46378
332, 2146, 5, 13, 2235, 10193, 30352, 45238
333, 2345, 7, 18, 2377, 10410, 30358, 45833
334, 2069, 6, 18, 2372, 10666, 30350, 45787
335, 2069, 6, 17, 2396, 10373, 4979, 20164
336, 2320, 7, 19, 2320, 10660, 4480, 20130
337, 2139, 7, 18, 2359, 11125, 5204, 21161
338, 2034, 7, 18, 2448, 10850, 4284, 19940
339, 2038, 6, 18, 2417, 10737, 4581, 20113
340, 2132, 7, 17, 2372, 10322, 5066, 20228
341, 2479, 5, 18, 2452, 10598, 5058, 20909
342, 2060, 6, 18, 2320, 10442, 5115, 20254
343, 2187, 5, 18, 2824, 10748, 4026, 20126
344, 2130, 6, 18, 2562, 10513, 4614, 20162
345, 2071, 6, 18, 2491, 10633, 4698, 20233
346, 2089, 6, 20, 2356, 10597, 4752, 20122
347, 2607, 7, 18, 2653, 11208, 4430, 21225
348, 1978, 6, 18, 2373, 11356, 4106, 20117
349, 2091, 7, 19, 2538, 10940, 4360, 20270
350, 2094, 7, 17, 2439, 10602, 4758, 20228
351, 2090, 6, 17, 2542, 10333, 4922, 20237
352, 2023, 5, 15, 2393, 10099, 5101, 19948
353, 2158, 6, 18, 2402, 10489, 4754, 20131
354, 2086, 6, 18, 2642, 10898, 4970, 20946
355, 2126, 6, 18, 2432, 10529, 4836, 20268
356, 2131, 6, 17, 2288, 10816, 4385, 19959
357, 2088, 6, 18, 2366, 11108, 4238, 20134
358, 2015, 6, 17, 2395, 11555, 4859, 21154
359, 1976, 6, 17, 2498, 10901, 4533, 20242
360, 2057, 6, 18, 2426, 10729, 4614, 20148
361, 2041, 6, 17, 2519, 10780, 5484, 21148
362, 2116, 6, 17, 2663, 10358, 4648, 20134
363, 2187, 6, 16, 2397, 10369, 4706, 19963
364, 2072, 6, 18, 2473, 10365, 4906, 20159
365, 2083, 6, 20, 2389, 10784, 4622, 20249
366, 1970, 6, 18, 2284, 11327, 5015, 20943
367, 2080, 6, 19, 2630, 10921, 4288, 20269
